Day,Cases
2022-02-01,158214
2022-02-02,576521
2022-02-03,296458
2022-02-04,303405
2022-02-05,350050
2022-02-06,281890
2022-02-07,104762
2022-02-08,96578
2022-02-09,305358
2022-02-10,197921
2022-02-11,196394
2022-02-12,165790
2022-02-13,155309
2022-02-14,67888
2022-02-15,47904
2022-02-16,174293
2022-02-17,108080
2022-02-18,105714
2022-02-19,100475
2022-02-20,103802
2022-02-21,40797
2022-02-22,31174
2022-02-23,48413
2022-02-24,115022
2022-02-25,73662
2022-02-26,75062
2022-02-27,74142
2022-02-28,25662
