date,Cases
2020-01-31,8
2020-02-29,61
2020-03-31,173074
2020-04-30,857163
2020-05-31,755116
2020-06-30,821191
2020-07-31,1884228
2020-08-31,1524538
2020-09-30,1201705
2020-10-31,1815557
2020-11-30,4374916
2020-12-31,6170028
2021-01-31,6285448
2021-02-28,2467058
2021-03-31,1776581
2021-04-30,1832202
2021-05-31,981676
2021-06-30,385721
2021-07-31,1373312
2021-08-31,4114589
2021-09-30,4185050
2021-10-31,2660463
2021-11-30,2444998
2021-12-31,5449603
2022-01-31,20444764
2022-02-28,4380740
2022-03-31,1022157
2022-04-30,1163440
2022-05-31,2698000
2022-06-30,3066561
2022-07-31,3922935
2022-08-31,2879420
2022-09-30,1858371
2022-10-31,1204618
2022-11-30,1125356
2022-12-31,2111048
2023-01-31,1522698
2023-02-28,1085170
2023-03-31,678002
2023-04-30,568838
2023-05-31,170425
2023-06-30,0
2023-07-31,0
